Search,Object,1,3,5,10,15,20,30
Person in Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raft 1 person,0.1,0.7,1.0,1.5,1.8,1.8,1.8
Raft 4 person,0.1,1.0,1.6,2.3,2.7,3.0,3.0
Raft 6 person,0.1,1.2,1.9,2.8,3.3,3.7,3.7
Raft 8 person,0.1,1.3,2.1,3.1,3.6,4.0,4.0
Raft 10 person,0.1,1.4,2.2,3.3,3.9,4.3,4.3
Raft 15 person,0.2,1.6,2.4,3.7,4.4,4.9,5.5
Raft 20 person,0.2,1.7,2.7,4.1,5.0,5.6,6.3
Raft 25 person,0.2,1.9,2.9,4.4,5.4,6.0,6.9
Power Boat ≤ 15ft,0.1,1.1,1.7,2.3,2.7,2.9,2.9
Power Boat 20ft,0.2,2.0,3.0,4.6,5.6,6.3,6.3
Power Boat 33ft,0.2,2.5,4.0,6.5,8.2,9.4,11.2
Power Boat 53ft,0.3,3.0,5.2,9.3,12.5,15.0,18.8
Power Boat 78ft,0.3,3.1,5.7,10.9,15.1,18.6,24.1
Sail Boat 15ft,0.2,1.9,2.8,4.3,5.1,5.7,5.7
Sail Boat 20ft,0.2,2.1,3.3,5.2,6.3,7.1,7.1
Sail Boat 25ft,0.2,2.4,3.9,6.1,7.7,8.8,8.8
Sail Boat 30ft,0.2,2.6,4.3,7.1,9.1,10.6,12.7
Sail Boat 40ft,0.3,2.9,4.9,8.7,11.5,13.7,17.1
Sail Boat 50ft,0.3,3.0,5.3,9.7,13.0,15.6,19.7
Sail Boat 70ft,0.3,3.1,5.6,10.5,14.4,17.5,22.5
Sail Boat 83ft,0.3,3.1,5.7,11.1,15.4,19.0,24.7
Ship 120ft,0.3,3.2,6.0,12.2,17.5,22.0,29.5
Ship 225ft,0.3,3.3,6.3,13.6,20.4,26.6,37.4
Ship ≥ 300ft,0.3,3.3,6.4,14.3,22.2,29.8,43.9
